period,high,wave to,speed,speed to,power,per,b,b rate
4.7,0.795,183.92,0.22,288.8,9.344,1.455118995,6.421467957,26.75611649
4.86,0.76,195.27,0.15,329.85,9.348,1.375085962,6.79812045,28.32550187
5.165,0.795,193.25,0.11,319.1,9.254,1.599082895,5.787067091,24.11277955
5.575,0.875,182.34,0.07,299.2,13.352,2.090871642,6.385853502,26.60772293
5.87,1.03,186.445,0.065,303.95,17.34,3.050555603,5.684210438,23.68421016
5.715,1.02,187.925,0.085,316.25,16.478,2.91261427,5.657460436,23.57275182
5.555,0.955,188.14,0.06,302.75,16.202,2.481745261,6.528470209,27.2019592
4.925,0.97,190.32,0.07,246.3,17.376,2.269948991,7.654797561,31.89498984
5.16,0.955,185.76,0.05,221,14.96,2.305275526,6.489462901,27.03942876
5.015,0.945,189.94,0.05,246.7,14.91,2.193819786,6.796364995,28.31818748
5.09,0.945,188.075,0.075,268.8,14.128,2.226628656,6.345018492,26.43757705
5.24,1.005,186.38,0.105,284.75,19.288,2.592565905,7.439733727,30.99889053
4.84,1.15,184.915,0.15,279.15,22.486,3.135504563,7.17141358,29.88088992
4.95,1.12,188.61,0.28,297.7,21.844,3.041638796,7.181654846,29.92356186
4.89,1.04,184.68,0.31,317.35,17.576,2.590847988,6.783879287,28.2661637
4.83,1.015,190.48,0.25,334.55,17.008,2.437505532,6.97762519,29.07343829
4.865,0.935,192.4,0.135,339.15,14.338,2.083399047,6.882022925,28.67509552
5.01,1.01,194.015,0.095,188.4,13.62,2.503495806,5.440392578,22.66830241
4.955,0.99,194.97,0.095,78.35,13.606,2.378923315,5.719394111,23.8308088
4.625,1.07,202.05,0.08,84.7,14.544,2.593854955,5.607098413,23.36291006
4.635,1.295,195.515,0.1,103.3,24.634,3.807638155,6.469627365,26.95678069
4.715,1.235,205.01,0.085,133.45,18.506,3.522751488,5.253280018,21.88866674
5.17,1.04,200.54,0.08,99.75,12.91,2.739199202,4.71305628,19.6377345
5.535,1.015,189.2,0.045,85.35,13.336,2.793290501,4.774297552,19.89290647
5.93,1.09,191.325,0.035,52.15,13.882,3.451231439,4.022332389,16.75971829
5.35,1.04,193.95,0.075,11.4,18.16,2.834567839,6.406620349,26.69425146
5.58,1.1,186.16,0.07,40.2,18.302,3.307394227,5.53366147,23.05692279
5.905,1.175,186.605,0.08,14.1,22.052,3.9935767,5.521867152,23.0077798
6.02,1.18,189.66,0.085,18.3,22.514,4.106075216,5.483094882,22.84622867
6.015,1.22,187.875,0.1,49.5,24.192,4.385525976,5.51632806,22.98470025
5.865,1.3,188.145,0.055,189.8,26.046,4.855356418,5.364384765,22.35160319
5.725,1.405,187.72,0.04,54.05,27.96,5.535980277,5.050596028,21.04415012
5.5,1.37,188.71,0.025,52.4,27.028,5.056735275,5.344950552,22.2706273
5.44,1.515,197.975,0.03,176.65,30.34,6.116325083,4.960495002,20.66872917
5.35,1.44,191.97,0.045,155.8,34.18,5.434319408,6.289656061,26.20690025
5.295,1.505,180.135,0.025,138.55,36.806,5.87496602,6.264887299,26.10369708
5.82,1.315,193.59,0.05,110.2,28.402,4.929931501,5.761134814,24.00472839
5.665,1.36,192.045,0.045,44.65,37.426,5.132679254,7.291708316,30.38211798
5.505,1.405,193.135,0.04,27.6,36.66,5.323243917,6.886778169,28.69490904
5.71,1.405,185.27,0.08,81.6,31.344,5.521475525,5.676743446,23.65309769
5.94,1.42,194.705,0.045,163.35,37.68,5.867181571,6.422163614,26.75901506
5.85,1.335,185.7,0.08,179.05,34.462,5.10722266,6.747698759,28.11541149
6.11,1.375,190.35,0.095,64.95,32.682,5.658652197,5.775580273,24.0649178
6.24,1.455,188.01,0.13,93.25,31.242,6.471083012,4.82793992,20.11641633
6.17,1.345,187.045,0.175,89.4,30.95,5.467592353,5.660626836,23.58594515
6.44,1.31,186.815,0.15,99.6,27.372,5.413708323,5.0560537,21.06689042
6.585,1.31,188.79,0.24,82.45,27.25,5.535600824,4.922681542,20.51117309
6.465,1.385,192.265,0.33,90.5,29.506,6.07483478,4.857086829,20.23786179
6.46,1.285,190.32,0.295,98.05,25.744,5.225227069,4.926867227,20.52861344
6.355,1.295,191.035,0.305,99.25,26.062,5.220612831,4.992134227,20.80055928
6.43,1.26,188.55,0.155,94.05,26.562,5.000557873,5.311807337,22.13253057
6.365,1.285,190.84,0.08,276.85,27.12,5.148385495,5.267670812,21.94862838
6.21,1.35,191.525,0.175,276.75,27.708,5.544029492,4.997808911,20.8242038
6.02,1.355,190.465,0.055,259.2,27.242,5.414289535,5.031500407,20.96458503
6.035,1.345,192.29,0.03,261.7,27.48,5.347961078,5.138406881,21.41002867
6.05,1.295,191.205,0.035,201.9,26.212,4.970056275,5.273984548,21.97493562
5.795,1.32,192.15,0.065,79.85,27.228,4.946154721,5.504882386,22.93700994
5.82,1.315,192.71,0.045,85.6,27.974,4.929931501,5.674318192,23.64299246
5.875,1.29,192.59,0.02,62.4,24.874,4.789097582,5.193880386,21.64116828
5.755,1.255,191.68,0.06,58.3,25.126,4.440165666,5.658797866,23.57832444
5.86,1.2,195.015,0.035,136.55,25.174,4.133581481,6.090118246,25.37549269
5.755,1.165,190.705,0.01,193.2,20.586,3.826163932,5.380323574,22.41801489
5.61,1.115,189.7,0.035,300.25,20.802,3.41648085,6.088721382,25.36967242
5.815,1.26,193.105,0.08,315.25,22.028,4.522277454,4.870997019,20.29582091
6.03,1.245,191.605,0.12,329.3,25.39,4.578491473,5.545494656,23.10622774
5.855,1.19,189.3,0.09,178.35,22.75,4.061507101,5.601369007,23.33903753
6.005,1.17,191.815,0.075,73.4,25.898,4.026717202,6.4315418,26.79809083
6.12,1.31,196.63,0.08,79.1,26.232,5.144704183,5.098835437,21.24514765
6.135,1.25,189.38,0.12,80.45,26.582,4.695706974,5.660915417,23.58714757
6.19,1.295,197.56,0.075,103.65,25.238,5.085065842,4.963160908,20.67983712
6.13,1.29,194.75,0.1,112.15,24.508,4.996964796,4.904577278,20.43573866
6.12,1.215,189.625,0.125,110.55,24.338,4.425581803,5.499389929,22.91412471
6.11,1.25,195.68,0.16,97.8,24.272,4.676572063,5.190126373,21.62552655
6.045,1.17,190.265,0.16,89,21.778,4.053539631,5.3725884,22.385785
6.18,1.215,189.505,0.175,77.4,20.852,4.46896986,4.665952256,19.44146773
5.94,1.28,189.285,0.16,73.5,24.69,4.767303256,5.179028619,21.57928591
5.815,1.29,192.06,0.105,72.55,26.042,4.740187649,5.493875333,22.89114722
5.75,1.295,190.905,0.07,70.75,27.078,4.723607204,5.732483425,23.8853476
5.63,1.4,194.23,0.06,16.95,29.834,5.405437633,5.519257093,22.99690456
5.575,1.43,193.99,0.045,49.95,32.956,5.584487734,5.901347012,24.58894588
5.37,1.395,196.57,0.08,87.4,33.012,5.119046748,6.448856911,26.87023713
5.385,1.4,194.385,0.095,86.35,30.036,5.170209886,5.809435335,24.20598056
5.54,1.35,198.16,0.155,103.7,30.916,4.945881383,6.250857554,26.04523981
5.59,1.37,195.805,0.155,104.6,25.64,5.139481853,4.988829757,20.78679065
5.82,1.305,197.315,0.08,81.35,34.252,4.855236649,7.054650983,29.3943791
5.67,1.405,192.05,0.135,54.7,33.548,5.482796187,6.118775686,25.49489869
5.605,1.355,197.165,0.12,48.3,30.184,5.041045323,5.987647019,24.94852925
5.52,1.395,188.89,0.085,19.75,30.714,5.262036881,5.836903217,24.32043007
5.665,1.44,191.69,0.06,166.6,30.934,5.754284008,5.375820859,22.39925358
5.72,1.525,190.9,0.005,308.55,36.028,6.516315613,5.528891193,23.03704664
5.78,1.48,194.685,0.03,197.25,35.78,6.201798675,5.769294018,24.03872508
5.685,1.445,193.08,0.045,59.6,41.638,5.814770225,7.16073007,29.83637529
5.95,1.505,190.6,0.115,48.75,44.436,6.601708747,6.730984613,28.04576922
5.815,1.465,195.67,0.105,62.2,37.576,6.113520364,6.146376844,25.60990352
5.96,1.5,193.665,0.135,73.75,34.81,6.568938147,5.299182185,22.07992577
5.86,1.46,190.145,0.125,93.3,34.482,6.118848809,5.635373757,23.48072399
5.95,1.46,188.16,0.115,99.6,35.704,6.212824302,5.746822743,23.94509476
5.965,1.545,187.92,0.125,90.75,37.918,6.974832945,5.436402606,22.65167753
5.705,1.49,190.85,0.1,80.95,39.818,6.204325586,6.417780539,26.74075225
5.88,1.655,188.92,0.075,50.8,46.944,7.889322636,5.950320727,24.79300303
5.61,1.625,191.385,0.075,171.95,49.842,7.256646821,6.868461595,28.61858998
5.745,1.66,193.82,0.055,322.3,51.416,7.754835751,6.630185558,27.62577316
5.77,1.705,196.525,0.045,313.45,48.544,8.216577852,5.908055747,24.61689895
5.695,1.665,195.755,0.065,197.45,46.224,7.733722751,5.976940406,24.90391836
5.655,1.475,194.32,0.085,72.5,42.63,6.026748169,7.073466288,29.4727762
5.88,1.53,193.46,0.115,91.55,35.906,6.742587366,5.325255433,22.1885643
5.745,1.35,196.855,0.15,92.8,30.556,5.128896849,5.957616404,24.82340168
5.945,1.27,191.92,0.16,98.5,31.996,4.697055541,6.811927115,28.38302965
6.075,1.36,190.835,0.21,94.05,34.156,5.504152951,6.205496159,25.856234
6.215,1.285,187.965,0.225,90.5,26.196,5.027056693,5.211001507,21.71250628
6.315,1.2,184.175,0.245,80.7,25.852,4.454533627,5.803525614,24.18135672
6.355,1.265,190.505,0.185,46.95,26.256,4.981532874,5.270666814,21.96111172
6.225,1.155,183.01,0.175,15.55,26,4.067894855,6.3915123,26.63130125
6.2,1.16,189.6,0.185,352.25,24.264,4.086712279,5.937290992,24.73871247
6.21,1.165,193.47,0.195,8.25,24.672,4.128666901,5.975778766,24.89907819
6.275,1.165,195.79,0.13,41.85,25.278,4.171881611,6.059136466,25.24640194
6.23,1.21,191.73,0.12,72.1,24.138,4.468123638,5.402267698,22.50944874
6.055,1.065,193.615,0.13,89.3,18.696,3.36418413,5.557365257,23.15568857
6.265,1.085,192.76,0.135,94.75,20.076,3.612825174,5.556870048,23.1536252
6.21,1.075,200.705,0.095,106,18.726,3.515401417,5.326845438,22.19518933
6.195,1.09,201.535,0.04,107.4,20.046,3.605460163,5.559900566,23.16625236
6.065,1.035,198.13,0.02,262.35,22.368,3.182569523,7.028283229,29.28451345
6.01,1.065,191.455,0.015,150.5,19.89,3.339181936,5.956548755,24.81895314
5.975,1.065,194.695,0.05,186.5,21.546,3.319735785,6.490275551,27.0428148
5.8,1.045,193.94,0.08,288.15,20.928,3.102608437,6.745292042,28.10538351
6.085,1.07,191.66,0.095,282.9,23.472,3.41267187,6.877895354,28.65789731
5.805,1.05,192.72,0.08,249.8,19.95,3.135069817,6.363494647,26.51456103
5.71,1.08,197.235,0.105,294.65,23.226,3.262496196,7.119088761,29.66286984
5.87,1.035,190.815,0.04,303.9,20.532,3.080244534,6.665704549,27.77376895
5.86,1.025,189.955,0.03,121.45,16.068,3.015863919,5.327826597,22.19927749
5.79,0.97,196.69,0.065,94.05,15.174,2.668630387,5.68606281,23.69192838
5.665,0.885,193.935,0.13,97.55,14.196,2.173465997,6.531503146,27.21459644
5.715,0.875,194.55,0.245,105.8,10.044,2.143377836,4.686061333,19.52525556
5.73,0.86,198.54,0.21,93,9.174,2.075954924,4.419171099,18.41321291
5.72,0.775,196.76,0.135,52.8,7.932,1.682929133,4.713210939,19.63837891
5.46,0.74,187.12,0.125,16.8,7.764,1.464611625,5.301064028,22.08776678
5.55,0.74,183.545,0.17,344.85,7.314,1.488753575,4.912834551,20.47014396
5.42,0.715,180.225,0.155,330.45,6.978,1.357305987,5.141066248,21.42110937
5.015,0.745,177.755,0.135,292.25,9.18,1.363483471,6.732754884,28.05314535
5.24,0.81,185.23,0.155,306.65,9.948,1.684099394,5.907014775,24.61256156
4.865,0.86,188.435,0.075,295.25,12.882,1.762569058,7.308649803,30.45270751
4.84,0.875,187.94,0.05,278.35,10.986,1.815214125,6.052178554,25.21741064
4.865,0.855,186.875,0.03,167.95,8.448,1.742133648,4.849226127,20.20510886
4.92,0.775,188.26,0.015,243.8,7.428,1.447554429,5.131413265,21.38088861
5.065,0.78,185.58,0.025,135.55,6.978,1.509506717,4.622702187,19.26125911
5.17,0.8,192.615,0.075,127.45,7.836,1.62082793,4.834566246,20.14402602
5.205,0.78,187.08,0.04,129.8,6.576,1.551230496,4.239215267,17.66339695
4.865,0.77,185.555,0.05,51.7,9.546,1.412962675,6.756017104,28.15007126
4.725,0.835,187.115,0.09,177.9,12.18,1.61376822,7.547552277,31.44813449
4.6,0.895,192.3,0.1,307.05,13.068,1.804971284,7.240004377,30.16668491
4.6,0.88,192.945,0.105,282.8,15.792,1.744976452,9.049978858,37.70824524
4.78,0.92,189.69,0.125,270.65,15.6,1.98184619,7.871448391,32.79770163
4.645,0.88,186.13,0.07,279.15,13.29,1.762046874,7.542364619,31.42651925
4.685,0.86,189.98,0.03,123.4,10.398,1.697355814,6.125998987,25.52499578
4.705,0.815,190.045,0.055,88.1,9.642,1.53088032,6.298336896,26.2430704
4.695,0.765,193.47,0.08,112.8,7.068,1.345937401,5.251358639,21.88066099
4.72,0.835,194.735,0.12,113.9,8.748,1.612060528,5.426595246,22.61081353
4.86,0.77,199.01,0.155,95.8,7.314,1.411510504,5.181683013,21.59034589
4.55,0.73,191.46,0.22,77.55,5.568,1.187745823,4.687871676,19.53279865
4.54,0.705,189.065,0.14,55.4,3.738,1.105351695,3.381729106,14.09053794
4.6,0.635,187.38,0.11,179.2,3.24,0.908597792,3.565934266,14.85805944
4.44,0.63,186.05,0.16,293.25,4.776,0.863237829,5.532658371,23.05274321
4.37,0.67,179.625,0.17,290.5,6.33,0.960942579,6.587282258,27.44700941
4.335,0.655,181.97,0.16,307.05,4.902,0.911041366,5.380655791,22.41939913
4.32,0.7,183.74,0.155,302.2,6.24,1.036922317,6.017808565,25.07420236
